identifier,subject_topical 1,subject_geographic 1,subject_geographic_authority 1,subject_geographic_URI 1,subject_name 1,subject_name_authority 1,subject_name_URI 1,subject_name 2,subject_name_authority 2,subject_name_URI 2,subject_name 3,subject_name_authority 3,subject_name_URI 3,object_in_context,type,date_text,date_single,date_end,date_qualifier,title,rights,repository,subject_geographic 2,collection,collection_identifier,record_source,file_url,record_creation_date
0012_003602_000215,39CA4 (39SL4),Rygh Site (Sully Site),,,Kansas State University,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2081,text,1966,1966,,,"Bass Field Notes, 39CA4 (39SL4), 1966","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Sully County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000215/0012_003602_000215_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000224,39CO9,Leavenworth Village Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2090,text,1971,1971,,,"Bass Field Notes, 39CO9, 1971","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Leavenworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000224/0012_003602_000224_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000212,"39CA4 (39WW1, 39WW2, 39BF11, 39CO9)","Rygh Site (Mobridge Site, Larson Site, Crow Creek Site, Leavenworth Village Site)",,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2078,text,undated,,,,"Bass Field Notes, 39CA4 (39WW1, 39WW2, 39BF11, 39CO9), undated","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",South Dakota,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000212/0012_003602_000212_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000239,39WW1,Mobridge Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2105,text,1968-1970,1968,1970,,"Bass Field Notes, 39WW1, 1968-1970","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Nalworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000239/0012_003602_000239_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000220,39CO9,Leavenworth Village Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2086,text,"1965, 1966",1965,1966,,"Bass Field Notes, 39CO9, 1965, 1966","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Leavenworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000220/0012_003602_000220_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000223,39CO9,Leavenworth Village Site,,,University of Kansas,,,Dana College,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2089,text,1968-1969,1968,1969,,"Bass Field Notes, 39CO9, 1968-1969","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Leavenworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000223/0012_003602_000223_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000221,39CO9,Leavenworth Village Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2087,text,"1965-1966, 1984-1985",1965,1985,,"Bass Field Notes, 39CO9, 1965-1966, 1984-1985","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Corson County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000221/0012_003602_000221_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000262,48NO201,Agate Basin Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2126,text,1961,1961,,,"Bass Field Notes, 48NO201, 1961","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Agate Basin, Niobrara County, Wyoming",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000262/0012_003602_000262_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000227,39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2093,text,1957-1963,1957,1963,,"Bass Field Notes, 39SL4, 1957-1963","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000227/0012_003602_000227_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000203,16IB3,Morton Shell Mound,,,Louisiana State University,,,University of Kansas,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2069,text,1970,1970,,,"Bass Field Notes, 16IB3, 1970","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Weeks Island, Louisiana",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000203/0012_003602_000203_0001.jpg.t.jpg,2015-01-08T02:57:30Z
