identifier,subject_topical 1,subject_topical 2,subject_topical 3,subject_topical 4,subject_topical 5,subject_topical 6,subject_topical 7,subject_topical 8,subject_topical 9,subject_topical 10,subject_topical 11,subject_topical 12,subject_topical 13,subject_topical 14,subject_topical 15,subject_topical 16,subject_geographic 1,subject_geographic 2,subject_geographic 3,subject_geographic 4,subject_geographic 5,subject_geographic 6,subject_geographic 7,subject_geographic 8,subject_geographic 9,subject_geographic 10,subject_geographic 11,subject_geographic 12,subject_geographic 13,subject_geographic 14,subject_geographic 15,subject_geographic 16,subject_geographic 17,subject_geographic 18,subject_geographic 19,object_in_context,item_type,form,date_text,date_single_start,date_end,date_qualifier,public_note 1,public_note 2,title,name 1,name 2,name 3,name 4,name 5,name 6,relatedItem_constituent_title,relatedItem_constituent_name,relatedItem_constituent_title 2,relatedItem_constituent_name 2,relatedItem_constituent_title 3,relatedItem_constituent_name 3,relatedItem_constituent_title 4,relatedItem_constituent_name 4,relatedItem_constituent_title 5,relatedItem_constituent_name 5,relatedItem_constituent_title 6,relatedItem_constituent_name 6,relatedItem_constituent_title 7,relatedItem_constituent_name 7,relatedItem_constituent_title 8,relatedItem_constituent_name 8,relatedItem_constituent_title 9,relatedItem_constituent_name 9,relatedItem_constituent_title 10,relatedItem_constituent_name 10,"relatedItem_constituent_title 11
",relatedItem_constituent_name 11,relatedItem_constituent_title 12,relatedItem_constituent_name 12,relatedItem_constituent_title 13,relatedItem_constituent_name 13,relatedItem_constituent_title 14,relatedItem_constituent_name 14,relatedItem_constituent_title 15,relatedItem_constituent_name 15,relatedItem_constituent_title 16,relatedItem_constituent_name 16,relatedItem_constituent_title 17,relatedItem_constituent_name 17,relatedItem_constituent_title 18,relatedItem_constituent_name 18,relatedItem_constituent_title 19,relatedItem_constituent_name 19,relatedItem_constituent_title 20,relatedItem_constituent_name 20,relatedItem_constituent_title 21,relatedItem_constituent_name 21,relatedItem_constituent_title 22,relatedItem_constituent_name 22,relatedItem_constituent_title 23,relatedItem_constituent_name 23,relatedItem_constituent_title 24,relatedItem_constituent_name 24,relatedItem_constituent_title 25,relatedItem_constituent_name 25,relatedItem_constituent_title 26,relatedItem_constituent_name 26,abstract,rights,repository,collection,collection_identifier,record_source
0012_003602_000215,39CA4,39SL4,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,Sully Site (S.D.),"Sully County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110752 | Coordinates: 44.71558, -100.1322",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2081,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1966,1966,,,,,"Bass Field Notes, 39CA4 (39SL4), 1966","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Kansas State University | URI: http://id.loc.gov/vocabulary/organizations/kmk | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,"Multivariate analysis of crania from the Sully Site, Sully County, South Dakota","Casady, Robert J. | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Includes letter describing contents with manuscript information. Master's report submitted in partial fulfillment of the requirements for the degree Master of Science at Kansas State University.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000224,39CO9,Physical anthropology | http://id.loc.gov/authorities/subjects/sh85101512,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Leavenworth Site (S.D.),"Corson County (S.D.) | URI: http://id.loc.gov/authorities/names/n81119166 | Coordinates: 45.7086, -101.19687",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2090,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1971,1971,,,,,"Bass Field Notes, 39CO9, 1971","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas. Department of Anthropology | URI: http://id.loc.gov/authorities/names/no90006392 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,Leavenworth site cemetery : archaeology and physical anthropology,"Evans, David R. | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas publications in anthropology ; no.2,"Jantz, Richard L. | URI: http://id.loc.gov/authorities/names/n89639305 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Results of information from an excavation at the Leavenworth (39CO9) site began on June 14, 1965 that continued for eight weeks.","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000212,39CA4,39WW1,39WW2,39BF11,39CO9,Arikara Indians | http://id.loc.gov/authorities/subjects/sh85007149,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,Anton Rygh Site (S.D.) | URI: http://id.loc.gov/authorities/subjects/sh92002409,Mobridge Site (S.D.),Larson Site (S.D.),Crow Creek Site (S.D.) | URI: http://id.loc.gov/authorities/subjects/sh90004719,Leavenworth Site (S.D.),"Walworth County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110754 | Coordinates: 45.42995, -100.03156","Corson County (S.D.) | URI: http://id.loc.gov/authorities/names/n81119166 | Coordinates: 45.7086, -101.19687",,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2078,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,undated,1839,2011,inferred,Dates inferred from archival collection dates.,Includes several Averbuch keys and coding sheets.,"Bass Field Notes, 39CA4 (39WW1, 39WW2, 39BF11, 39CO9), undated","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Smithsonian Institution | URI: http://id.loc.gov/authorities/names/n79053968 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,P. Willey's Arikara femur data coding sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Keys of information pertaining to findings from several sources, some in handwritten form.","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000239,39WW1,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Mobridge Site (S.D.),"Walworth County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110754 | Coordinates: 45.42995, -100.03156",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2105,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1968-1970,1968,1970,,,,"Bass Field Notes, 39WW1, 1968-1970","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas. Department of Anthropology | URI: http://id.loc.gov/authorities/names/no90006392 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,Burial record F-101 39WW1 Mobridge Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burial record of the 39WW1 Mobridge site,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000220,39CO9,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Leavenworth Site (S.D.),"Corson County (S.D.) | URI: http://id.loc.gov/authorities/names/n81119166 | Coordinates: 45.7086, -101.19687",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2086,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,"1965, 1966",1965,1966,,,,"Bass Field Notes, 39CO9, 1965, 1966","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Smithsonian Institution | URI: http://id.loc.gov/authorities/names/n79053968 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,Paul Parmalee's identification of non-human elements from the Leavenworth (39C09)cemeteries,"Parmalee, Paul Woodburn | URI: http://id.loc.gov/authorities/names/n50050772 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Handwritten record of items found in the Leavenworth (39C09) cemeteries, with drawings","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000223,39CO9,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Leavenworth Site (S.D.),"Corson County (S.D.) | URI: http://id.loc.gov/authorities/names/n81119166 | Coordinates: 45.7086, -101.19687",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2089,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1968-1969,1968,1969,,,,"Bass Field Notes, 39CO9, 1968-1969","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",University of Kansas. Department of Anthropology | URI: http://id.loc.gov/authorities/names/no90006392 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,"Dana College (Blair, Neb.) | URI: http://id.loc.gov/authorities/names/n84072514 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,Highland Leavenworth site,"Franks, Nick | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre || Lehmer, Donald J. (Donald Jayne), 1917-1975 | URI: http://id.loc.gov/authorities/names/n88611442 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A letter with the enclosed report asking Dr. Bass' opinion about whether it should be published,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000221,39CO9,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Leavenworth Site (S.D.),"Corson County (S.D.) | URI: http://id.loc.gov/authorities/names/n81119166 | Coordinates: 45.7086, -101.19687",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2087,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,"1965-1966, 1984-1985",1965,1985,,,,"Bass Field Notes, 39CO9, 1965-1966, 1984-1985","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Department of Anthropology | URI: http://id.loc.gov/authorities/names/n82115739 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",National Museum of Natural History (U.S.) | URI: http://id.loc.gov/authorities/names/n78083411 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,Smithsonian Institution River Basin surveys burial form,"Ewers, John C. (John Canfield), 1909-1997 | URI: http://id.loc.gov/authorities/names/n79054598 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letter of 6-10-85 from John C. Ewers to Dr. Bass asking permission to use a picture in his new book ; Letter of 6-13-85 from Dr. Bass to John C. Ewers giving permission to use the picture ; Includes a River Basin Surveys burial form,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000262,48NO201,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Agate Basin Site (Wyo.) | URI: http://id.loc.gov/authorities/subjects/sh85002054,,,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2126,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1961,1961,,,,,"Bass Field Notes, 48NO201, 1961","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Smithsonian Institution | URI: http://id.loc.gov/authorities/names/n79053968 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,Smithsonian Institution River Basin Surveys general feature form 48NO201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shows several pictures of arrowheads, etc., along with field notes for 48NO201","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000227,39SL4,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Sully Site (S.D.),"Sully County (S.D.) | URI: http://id.loc.gov/authorities/names/n81110752 | Coordinates: 44.71558, -100.1322",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2093,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1957-1963,1957,1963,,,,"Bass Field Notes, 39SL4, 1957-1963","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Smithsonian Institution | URI: http://id.loc.gov/authorities/names/n79053968 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,,Smithsonian Institution Missouri Basin project,"Whitford, Leona | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",Smithsonian Institution River Basin surveys burial form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A letter from the Smithsonian Institution accompanying several requested burial records.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
0012_003602_000203,16IB3,Excavations (Archaeology)--United States | http://id.loc.gov/authorities/subjects/sh2009125236,Indians of North America--United States | http://id.loc.gov/authorities/subjects/sh2009007848,,,,,,,,,,,,,,Morton Shell Mound (La.),"Iberia Parish (La.) | URI: http://id.loc.gov/authorities/names/n80010513 | Coordinates: 29.51353, -91.83964",,,,,,,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2069,text,manuscripts (document genre) | http://vocab.getty.edu/aat/300028569,1970,1970,,,,,"Bass Field Notes, 16IB3, 1970","Bass, William M., 1928- | URI: http://id.loc.gov/authorities/names/n83189337 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","Louisiana State University (Baton Rouge, La.) | URI: http://id.loc.gov/authorities/names/n80020543 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",University of Kansas. Department of Anthropology | URI: http://id.loc.gov/authorities/names/no90006392 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb,,,,Skeletal analysis sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skeletal analysis records.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Dr. William M. Bass III Collection, MS.3689,"University of Tennessee, Knoxville. Libraries"
